Time,Average Age,Average Weekly Earnings,Male Proportion,Female Proportion,Survey Size
may20,34.34090909090909,0.0,0.5092592592592593,0.4907407407407407,1188.0
apr20,34.47012578616352,0.0023584905660377,0.5110062893081762,0.4889937106918239,1272.0
mar20,35.402116402116405,0.000755857898715,0.5102040816326531,0.4897959183673469,1323.0
feb20,35.3015479876161,0.0006191950464396,0.4817337461300309,0.518266253869969,1615.0
jan20,36.208333333333336,0.0024875621890547,0.4912935323383084,0.5087064676616916,1608.0
dec19,36.42517662170842,0.001926782273603,0.4778420038535645,0.5221579961464354,1557.0
nov19,35.33801098230629,0.0024405125076266,0.4832214765100671,0.5167785234899329,1639.0
oct19,34.68773234200744,0.0018587360594795,0.4869888475836431,0.5130111524163569,1614.0
sep19,34.54556650246305,0.001847290640394,0.480911330049261,0.5190886699507389,1624.0
aug19,35.09720534629405,0.0012150668286755,0.4811664641555285,0.5188335358444714,1646.0
jul19,35.29636835278858,0.0019455252918287,0.4889753566796368,0.5110246433203631,1542.0
jun19,35.36631016042781,0.0006684491978609,0.4926470588235294,0.5073529411764706,1496.0
may19,34.786896095301124,0.0019854401058901,0.5056254136333554,0.4943745863666446,1511.0
apr19,34.114178168130486,0.0018820577164366,0.4987452948557089,0.501254705144291,1594.0
mar19,35.032924467398324,0.0006455777921239,0.5054874112330536,0.4945125887669464,1549.0
feb19,34.96268656716418,0.0006218905472636,0.4962686567164179,0.503731343283582,1608.0
jan19,35.22317073170732,0.0,0.498780487804878,0.501219512195122,1640.0
dec18,35.099633251833744,0.0024449877750611,0.4877750611246944,0.5122249388753056,1636.0
nov18,34.85534967124925,0.0011954572624028,0.4829647340107591,0.5170352659892409,1673.0
oct18,34.42701149425287,0.0028735632183908,0.4982758620689655,0.5017241379310344,1740.0
sep18,34.77345132743363,0.0017699115044247,0.5014749262536873,0.4985250737463126,1695.0
aug18,34.537795729948066,0.0005770340450086,0.4945181765724177,0.5054818234275822,1733.0
jul18,34.516129032258064,0.0005973715651135,0.503584229390681,0.496415770609319,1674.0
jun18,34.23053152039555,0.0012360939431396,0.4950556242274412,0.5049443757725587,1618.0
may18,34.18551765409934,0.0023937761819269,0.4823459006582885,0.5176540993417116,1671.0
apr18,33.844565877352764,0.0012143290831815,0.4814814814814814,0.5185185185185185,1647.0
mar18,34.32469879518072,0.0006024096385542,0.4903614457831325,0.5096385542168674,1660.0
feb18,33.92685781158572,0.0017554125219426,0.4956114686951433,0.5043885313048566,1709.0
jan18,34.82903419316137,0.0005998800239952,0.4967006598680264,0.5032993401319736,1667.0
dec17,33.95071982281284,0.0022148394241417,0.4994462901439646,0.5005537098560354,1806.0
nov17,35.23399558498896,0.0005518763796909,0.4834437086092715,0.5165562913907285,1812.0
oct17,34.71574973031284,0.0010787486515641,0.4805825242718446,0.5194174757281553,1854.0
sep17,33.96378830083565,0.0016713091922005,0.4785515320334262,0.5214484679665738,1795.0
aug17,33.90075921908894,0.0016268980477223,0.4804772234273319,0.5195227765726681,1844.0
jul17,33.23267605633803,0.0022535211267605,0.4952112676056338,0.5047887323943662,1775.0
jun17,34.15253272623791,0.0017074558907228,0.4945930563460444,0.5054069436539556,1757.0
may17,33.819690898683454,0.001717229536348,0.4796794504865483,0.5203205495134516,1747.0
apr17,34.249698431845594,0.0024125452352231,0.4776839565741858,0.5223160434258143,1658.0
mar17,34.72314049586777,0.0011806375442739,0.4923258559622196,0.5076741440377804,1694.0
feb17,34.19600938967136,0.0023474178403755,0.4782863849765258,0.5217136150234741,1704.0
jan17,34.00511073253833,0.0005678591709256,0.4770017035775127,0.5229982964224872,1761.0
dec16,33.20603015075377,0.0005583472920156,0.467895030709101,0.5321049692908989,1791.0
nov16,32.44020100502512,0.0,0.4562814070351759,0.5437185929648242,1990.0
oct16,31.70887918486172,0.0009704027171276,0.4459000485201358,0.5540999514798641,2061.0
sep16,31.46080878681977,0.0019970044932601,0.455317024463305,0.544682975536695,2003.0
aug16,32.416152263374485,0.0015432098765432,0.4624485596707819,0.5375514403292181,1944.0
jul16,33.03076923076923,0.0016483516483516,0.4686813186813187,0.5313186813186813,1820.0
jun16,32.32836615220862,0.0005321979776476,0.4816391697711549,0.5183608302288452,1879.0
may16,32.24321556579621,0.0025601638504864,0.4685099846390169,0.5314900153609831,1953.0
apr16,32.406349206349205,0.001058201058201,0.4798941798941799,0.5201058201058201,1890.0
mar16,31.88748019017433,0.0015847860538827,0.4949815108293713,0.5050184891706286,1893.0
