Time,AIAN Average Age,AIAN Agricultural Proportion,AIAN Mining Proportion,AIAN Construction Proportion,AIAN Manufacturing Proportion,AIAN Retail Proportion,AIAN Transportation Proportion,AIAN Information Proportion,AIAN Financial Services Proportion,AIAN Business Proportion,AIAN Education and Health Proportion,AIAN Hospitality Proportion,AIAN Other Proportion,AIAN Public Administration Proportion,AIAN Military Proportion,AIAN Num Male Respondents,AIAN Num Female Respondents,AIAN Male Proportion,AIAN Female Proportion,AIAN Survey Size,National Average Age,National Agricultural Proportion,National Mining Proportion,National Construction Proportion,National Manufacturing Proportion,National Retail Proportion,National Transportation Proportion,National Information Proportion,National Financial Services Proportion,National Business Proportion,National Education and Health Proportion,National Hospitality Proportion,National Other Proportion,National Public Administration Proportion,National Military Proportion,National Num Male Respondents,National Num Female Respondents,National Male Proportion,National Female Proportion,National Survey Size
nov00,29.710822998872604,0.0146561443066516,0.008455467869222,0.0394588500563697,0.0248027057497181,0.0146561443066516,0.016347237880496,0.0022547914317925,0.0078917700112739,0.0078917700112739,0.0698985343855693,0.012401352874859,0.0016910935738444,0.0281848928974069,0.0095828635851183,887.0,887.0,0.5,0.5,1774.0,35.98330351327061,0.0136869965287797,0.0029517739501826,0.0363612377662162,0.0428007222776481,0.0282479819925298,0.0230782549903943,0.0073959252327201,0.0055654955764616,0.0206047014008558,0.0876050229628224,0.0326838880964356,0.0034299943108267,0.0367075352687516,0.0147176438577541,58517.0,62766.0,0.4824831179967514,0.5175168820032486,121283.0
dec00,29.76866928691746,0.0145985401459854,0.0067377877596855,0.0336889387984278,0.030320044918585,0.017405951712521,0.0151600224592925,0.004491858506457,0.0101066816395283,0.0072992700729927,0.0701852891633913,0.0123526108927568,0.0016844469399213,0.0235822571588994,0.0112296462661426,902.0,879.0,0.506457046603032,0.493542953396968,1781.0,36.052947946248935,0.0132556156285446,0.002964091439737,0.0364301741196731,0.042937927951051,0.0280098361470123,0.0227522996547413,0.0074267877693969,0.0052906548323798,0.019945520330521,0.0883845701653433,0.0326960812724066,0.0035933399018041,0.036637163745353,0.0149280918040387,58385.0,62394.0,0.4834035718129807,0.5165964281870192,120779.0
jan01,29.775824175824177,0.0104395604395604,0.0054945054945054,0.0329670329670329,0.0307692307692307,0.0197802197802197,0.0142857142857142,0.0038461538461538,0.0098901098901098,0.006043956043956,0.0725274725274725,0.0104395604395604,0.0032967032967032,0.0274725274725274,0.012087912087912,889.0,931.0,0.4884615384615384,0.5115384615384615,1820.0,36.04952117879043,0.0125966170511935,0.0029120316829047,0.0358263097902505,0.0425822232945894,0.0287708730270985,0.0227138471266567,0.0073133595693521,0.0051418159429574,0.0194440515512808,0.0873609504871413,0.0332221214566814,0.0031616343985822,0.0371824845454318,0.0150011232122205,58119.0,62072.0,0.4835553410821109,0.516444658917889,120191.0
feb01,29.454448588172617,0.0069259456579648,0.0053276505061267,0.0319659030367607,0.0234416622269579,0.0213106020245071,0.0143846563665423,0.0026638252530633,0.0090570058604155,0.0079914757591901,0.0639318060735215,0.0127863612147043,0.0026638252530633,0.0330314331379861,0.0111880660628662,921.0,956.0,0.4906766116142781,0.5093233883857219,1877.0,36.027049097521555,0.0124006600215517,0.0029296875,0.0354761584051724,0.0427498653017241,0.0293473868534482,0.0230081492456896,0.0074757543103448,0.0053626751077586,0.0197585533405172,0.0871076912715517,0.033514614762931,0.003308526400862,0.0369578394396551,0.0148673221982758,57438.0,61346.0,0.4835499730603448,0.5164500269396551,118784.0
mar01,29.56923076923077,0.006366047745358,0.0053050397877984,0.0350132625994695,0.0185676392572944,0.016445623342175,0.0153846153846153,0.0021220159151193,0.0084880636604774,0.0090185676392572,0.0610079575596817,0.0143236074270557,0.0053050397877984,0.0291777188328912,0.0111405835543766,926.0,959.0,0.4912466843501326,0.5087533156498674,1885.0,36.15615062187669,0.0129175488372491,0.0028543754232275,0.0349725277080136,0.0433642200183434,0.0286551863058553,0.0230750109289149,0.0074830923257588,0.0053487395318138,0.01966347513779,0.0867798702244927,0.0331896145307423,0.0037201169179602,0.0366182937178025,0.0154890582275442,56563.0,60100.0,0.4848409521442102,0.5151590478557897,116663.0
apr01,28.998404255319148,0.0069148936170212,0.0031914893617021,0.0446808510638297,0.0186170212765957,0.0202127659574468,0.0132978723404255,0.0031914893617021,0.0079787234042553,0.0085106382978723,0.0659574468085106,0.0143617021276595,0.0053191489361702,0.0303191489361702,0.0111702127659574,944.0,936.0,0.502127659574468,0.4978723404255319,1880.0,36.169888080343846,0.0139239967658198,0.0029958721647729,0.0358483339716583,0.0433465253840588,0.0278905485339801,0.023183965275118,0.0077109664241031,0.0054215072981829,0.019209328056513,0.086063236733478,0.032580109791906,0.0034299331886463,0.0363675050002127,0.0149027618196519,56973.0,60522.0,0.4848972296693476,0.5151027703306523,117495.0
may01,29.18147138964577,0.0108991825613079,0.0065395095367847,0.0392370572207084,0.017983651226158,0.0158038147138964,0.015258855585831,0.0054495912806539,0.0065395095367847,0.0092643051771117,0.0719346049046321,0.0168937329700272,0.0027247956403269,0.0267029972752043,0.0119891008174386,920.0,915.0,0.5013623978201635,0.4986376021798365,1835.0,36.07277536911674,0.0145111263237071,0.0031608393972431,0.0362735900881485,0.0431192583014291,0.0271967411238727,0.0236133296146987,0.0077415210905741,0.0054089230327155,0.0187960075386864,0.087151272364629,0.0326817271367358,0.0033129653575382,0.0352594170195143,0.0139786854626742,57306.0,61017.0,0.4843183489262442,0.5156816510737557,118323.0
jun01,29.3044925124792,0.0088740987243483,0.0027731558513588,0.0499168053244592,0.0194120909595119,0.0171935662784248,0.0171935662784248,0.0061009428729894,0.0066555740432612,0.0083194675540765,0.07210205213533,0.016638935108153,0.002218524681087,0.0210759844703272,0.0133111480865224,885.0,918.0,0.4908485856905158,0.5091514143094842,1803.0,36.20917498071593,0.0148169496410195,0.0029074449238385,0.037728971883397,0.0434930026361964,0.0275317233604299,0.0233273715172115,0.0079933544116026,0.0052045807091453,0.0186313817568426,0.088664355403355,0.0325922033007552,0.0036533783153772,0.0363557763217007,0.0146389428089478,57101.0,60872.0,0.4840175294347011,0.5159824705652989,117973.0
jul01,28.678119349005424,0.005877034358047,0.0049728752260397,0.0474683544303797,0.0189873417721519,0.0207956600361663,0.0180831826401446,0.0072332730560578,0.0054249547920434,0.0099457504520795,0.0696202531645569,0.017631103074141,0.0027124773960217,0.0239602169981916,0.0171790235081374,1058.0,1154.0,0.4783001808318264,0.5216998191681737,2212.0,36.1424481987368,0.0163035068716679,0.0029892107077044,0.0389933745023843,0.0431220019974961,0.0277961428631715,0.0235620138136701,0.0078000815878687,0.0051344089802923,0.018293969531151,0.0909423398838076,0.0326210806172544,0.0036081531601232,0.0359830634838019,0.0159096344019468,68742.0,73436.0,0.4834925234565123,0.5165074765434877,142178.0
aug01,28.87596197374377,0.0117700316885468,0.0049796287913082,0.0439112720688094,0.0181077410593028,0.0153915799004074,0.0172023540063377,0.0054323223177908,0.0058850158442734,0.0108646446355817,0.0651878678134902,0.0144861928474422,0.0018107741059302,0.0258035310095065,0.0144861928474422,1009.0,1200.0,0.4567677682209144,0.5432322317790855,2209.0,36.09164333706607,0.0157614781634938,0.002862541993281,0.0388437849944008,0.0419652855543113,0.0269596864501679,0.0239081746920492,0.0075517917133258,0.0054031354983202,0.0187360022396416,0.0899216125419932,0.0327407614781634,0.0033664613661814,0.0357992721164613,0.015852463605823,68966.0,73914.0,0.4826847704367301,0.5173152295632699,142880.0
